mOTUs2_clade	M1-stool	M10-stool	M11-stool	M13-stool	M14-stool	M16-stool	M17-stool	M19-stool	M2-stool	M20-stool	M21-stool	M3-stool	M4-stool	M5-stool	M6-stool	M7-stool	M8-stool	M9-stool	RD521-stool	RD522-stool
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Melainabacteria order incertae sedis|f__Candidatus Melainabacteria fam. incertae sedis	10	9	6	15	0	7	3	3	22	9	12	4	59	3	21	6	13	7	4	6
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Melainabacteria order incertae sedis|f__Candidatus Melainabacteria fam. incertae sedis|g__Candidatus Melainabacteria gen. incertae sedis	10	9	6	15	0	7	3	3	22	9	12	4	59	3	21	6	13	7	4	6
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Melainabacteria order incertae sedis|f__Candidatus Melainabacteria fam. incertae sedis|g__Candidatus Melainabacteria gen. incertae sedis|s__Candidatus Melainabacteria species incertae sedis [ext_mOTU_v31_18985]	10	9	6	15	0	7	3	3	22	9	12	4	59	3	21	6	13	7	4	6
k__Bacteria|p__Deferribacteres	10	2	4	0	0	1	8	25	8	33	42	0	6	2	3	5	3	23	3	22
k__Bacteria|p__Deferribacteres|c__Deferribacteres	10	2	4	0	0	1	8	25	8	33	42	0	6	2	3	5	3	23	3	22
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	10	2	4	0	0	1	8	25	8	33	42	0	6	2	3	5	3	23	3	22
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	10	2	4	0	0	1	8	25	8	33	42	0	6	2	3	5	3	23	3	22
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	10	2	4	0	0	1	8	25	8	33	42	0	6	2	3	5	3	23	3	22
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum schaedleri [ref_mOTU_v31_04199]	10	2	4	0	0	1	8	25	8	33	42	0	6	2	3	5	3	23	3	22
k__Bacteria|p__Firmicutes	1385	378	917	709	259	841	219	448	503	694	1226	132	919	329	1555	598	821	1331	632	1179
k__Bacteria|p__Firmicutes|c__Bacilli	4	12	0	68	9	16	6	6	19	5	4	8	74	47	27	15	34	3	5	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus sciuri [ref_mOTU_v31_02822]	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	4	12	0	66	9	16	6	6	19	5	4	8	74	47	27	15	34	3	5	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	4	12	0	66	9	16	6	4	19	5	4	8	74	47	27	15	34	3	5	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	4	12	0	66	9	16	6	4	19	5	4	8	74	47	27	15	34	3	5	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus animalis/murinus [ref_mOTU_v31_03470]	2	9	0	66	3	16	6	2	19	5	4	5	70	28	10	10	10	2	5	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus johnsonii [ref_mOTU_v31_01040]	2	1	0	0	2	0	0	2	0	0	0	2	2	13	2	2	6	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus reuteri [ref_mOTU_v31_04085]	0	0	0	0	2	0	0	0	0	0	0	0	2	3	5	0	3	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus taiwanensis [ref_mOTU_v31_01041]	0	2	0	0	2	0	0	0	0	0	0	1	0	3	10	3	15	1	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus azizii [ref_mOTU_v31_04784]	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	1372	356	907	589	227	812	204	428	467	678	1199	120	826	264	1513	568	760	1317	617	1162
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis	1	0	0	3	2	6	3	2	2	4	8	0	4	1	9	8	8	7	4	9
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis|f__Clostridia fam. incertae sedis	1	0	0	3	2	6	3	2	2	4	8	0	4	1	9	8	8	7	4	9
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis|f__Clostridia fam. incertae sedis|g__Clostridia gen. incertae sedis	1	0	0	3	2	6	3	2	2	4	8	0	4	1	9	8	8	7	4	9
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis|f__Clostridia fam. incertae sedis|g__Clostridia gen. incertae sedis|s__Clostridia species incertae sedis [ext_mOTU_v31_23622]	0	0	0	0	2	0	0	0	2	0	2	0	3	0	5	3	2	4	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis|f__Clostridia fam. incertae sedis|g__Clostridia gen. incertae sedis|s__Clostridia species incertae sedis [ext_mOTU_v31_28368]	1	0	0	3	0	3	3	2	0	4	3	0	1	1	4	3	3	3	2	7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis|f__Clostridia fam. incertae sedis|g__Clostridia gen. incertae sedis|s__Clostridia species incertae sedis [ext_mOTU_v31_34182]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis|f__Clostridia fam. incertae sedis|g__Clostridia gen. incertae sedis|s__Clostridia species incertae sedis [ext_mOTU_v31_34234]	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	3	0	2	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1371	356	907	586	225	806	201	426	465	674	1191	120	822	263	1504	560	752	1310	613	1153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	84	50	45	77	41	91	14	29	82	40	71	26	63	57	116	64	124	229	47	79
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae gen. incertae sedis	0	1	0	0	4	2	0	0	2	0	0	0	5	3	2	0	6	6	4	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae gen. incertae sedis|s__Candidatus Arthromitus sp. [ref_mOTU_v31_00944]	0	1	0	0	2	0	0	0	2	0	0	0	1	3	0	0	2	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae gen. incertae sedis|s__Clostridiaceae species incertae sedis [ext_mOTU_v31_19142]	0	0	0	0	2	2	0	0	0	0	0	0	4	0	2	0	4	6	4	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	84	49	45	77	37	89	14	29	80	40	71	26	58	54	114	64	118	223	43	79
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. ASF502 [ref_mOTU_v31_03467]	0	2	0	0	7	2	0	2	0	0	2	0	4	0	0	0	0	0	2	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_18851]	3	0	0	0	0	13	0	0	7	0	3	1	3	3	0	0	0	8	0	4
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_18883]	11	2	3	0	0	3	0	0	4	3	3	1	6	3	5	4	9	4	4	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_18916]	0	5	0	0	2	0	2	0	0	4	0	1	0	4	0	7	6	0	2	6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_18921]	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_18952]	3	0	3	23	5	3	2	3	0	0	2	1	0	0	27	0	0	3	4	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_18978]	8	3	12	2	3	7	3	0	3	0	9	1	5	1	17	4	3	35	3	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19001]	3	0	0	0	4	0	0	1	3	3	3	3	3	2	2	2	4	3	2	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19026]	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19060]	3	2	3	0	2	6	0	0	3	4	4	0	3	4	2	3	3	3	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19075]	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19078]	6	2	2	22	3	18	0	2	4	2	2	1	0	3	13	3	5	20	6	35
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19112]	3	0	4	1	0	0	0	0	2	0	0	0	0	0	12	0	0	0	2	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19130]	0	0	3	0	0	0	0	2	0	3	2	0	0	0	2	2	0	2	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19136]	3	2	6	0	0	17	0	1	0	0	0	0	2	0	0	2	9	0	4	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19143]	0	2	0	0	3	0	0	0	0	0	3	2	3	3	2	4	6	3	2	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19147]	0	2	0	7	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19150]	0	0	4	5	0	0	0	0	0	2	2	0	2	0	3	0	0	0	0	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_19166]	0	0	3	0	0	2	0	4	0	0	3	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_23577]	0	0	0	7	0	0	0	7	3	0	2	0	0	0	0	0	0	0	5	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_23592]	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_23609]	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_23611]	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_23615]	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_23652]	0	4	0	3	8	4	0	2	2	0	2	3	5	3	2	8	9	0	1	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_28296]	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_28322]	30	9	0	0	0	4	0	0	13	3	18	6	5	17	10	12	50	139	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_28327]	2	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_28350]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_28359]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_28369]	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_28370]	0	0	0	1	0	0	2	0	0	3	0	0	0	6	3	0	4	0	2	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34175]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34202]	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34204]	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34210]	0	0	0	0	0	1	0	0	0	0	3	0	5	0	0	0	0	0	0	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34212]	0	0	1	0	0	2	0	0	24	0	2	2	0	0	8	0	0	0	3	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34217]	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34218]	0	0	0	0	0	2	0	0	0	3	0	0	0	3	3	2	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34225]	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34226]	1	2	0	0	0	0	0	2	3	3	3	3	7	0	0	2	5	0	1	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium species incertae sedis [ext_mOTU_v31_34231]	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	1	1	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis	3	0	0	0	2	4	1	0	1	0	0	0	2	2	2	3	3	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|g__Clostridiales Family XIII. Incertae Sedis gen. incertae sedis	3	0	0	0	2	4	1	0	1	0	0	0	2	2	2	3	3	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|g__Clostridiales Family XIII. Incertae Sedis gen. incertae sedis|s__Clostridiales Family XIII. Incertae Sedis species incertae sedis [ext_mOTU_v31_23656]	3	0	0	0	2	4	1	0	1	0	0	0	2	2	2	3	3	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis	134	85	173	101	69	170	50	173	68	66	212	6	167	33	152	119	136	153	85	170
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis	134	85	173	101	69	170	50	173	68	66	212	6	167	33	152	119	136	153	85	170
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_17378]	1	0	0	0	0	0	0	6	0	0	0	0	0	0	8	0	0	5	0	6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18867]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18879]	26	3	1	2	0	28	0	0	0	3	57	0	2	3	16	3	10	0	8	28
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18880]	2	3	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18884]	3	2	8	5	0	0	2	0	10	0	9	0	7	2	3	1	1	14	3	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18889]	0	0	2	6	0	0	0	0	0	0	16	0	0	0	1	0	0	5	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18895]	0	0	13	0	0	3	0	0	0	0	0	2	13	0	0	0	0	0	3	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18924]	0	0	4	0	2	3	0	0	1	1	19	0	2	0	3	0	1	1	2	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18925]	3	0	6	0	2	2	0	2	0	1	7	0	3	1	3	0	4	2	3	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18943]	2	2	0	16	11	2	8	30	11	2	0	0	2	0	6	4	4	3	4	5
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18947]	0	0	0	0	0	12	0	0	0	0	3	0	2	0	5	3	3	0	3	4
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18951]	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18956]	2	0	2	3	0	3	0	2	0	0	0	0	0	0	1	0	2	0	3	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18961]	3	2	3	0	3	2	2	6	0	4	5	0	3	0	2	3	2	4	1	4
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18965]	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18975]	13	24	32	1	12	43	12	7	31	10	12	4	62	4	10	14	24	2	3	7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_18991]	4	2	7	0	0	2	3	0	5	5	6	0	7	2	7	4	10	9	2	4
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19009]	3	0	4	0	0	5	0	4	0	0	2	0	0	0	0	0	0	3	1	7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19010]	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	2	3	0	2	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19019]	3	1	0	0	0	0	0	0	0	1	3	0	1	1	2	3	2	2	2	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19023]	0	5	2	3	0	10	1	2	0	2	3	0	3	0	0	2	0	0	2	2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19027]	11	5	16	5	4	3	2	3	0	3	0	0	5	2	5	3	6	11	4	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19042]	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19044]	0	10	0	0	2	3	0	16	0	2	0	0	0	4	0	10	17	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19049]	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19073]	3	2	4	3	3	3	0	3	1	2	7	0	4	3	5	5	7	2	2	6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales fam. incertae sedis|g__Clostridiales gen. incertae sedis|s__Clostridiales species incertae sedis [ext_mOTU_v31_19074]	1	0	7	3	3	3	0	2	0	2	13	0	0	1	3	0	2	1	0	1
